Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Temperature Sensitive Allele	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments
Plate1-TS-Blue-A-Stinger	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11995	YDR188W	CCT6	cct6-18	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12371	YLR007W	NSE1	nse1-16	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-A-Stinger	24	C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11742	YPL266W	DIM1	dim1-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	25	D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08678	YNR011C	PRP2	prp2-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11211	YDL143W	CCT4	cct4-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08235	YJR065C	ARP3	arp3-G15C	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07751	YGL048C	RPT6	rpt6-20	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04859	YFL009W	CDC4	cdc4-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12311	YKL024C	URA6	ura6-4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12014	YLR186W	EMG1	emg1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	32	D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12315	YKL024C	URA6	ura6-6	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	33	E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08681	YIR008C	PRI1	pri1-M4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10800	YML114C	TAF8	taf8-7	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08457	YKL112W	ABF1	abf1-103	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04913	YKL022C	CDC16	cdc16-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10203	YFL034C-B	MOB2	mob2-19	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11694	YDL132W	CDC53	cdc53-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-A-Stinger	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12374	YKL021C	MAK11	mak11-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
