Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Temperature Sensitive Allele	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments
Plate1-TS-Green-A-Stinger	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11477	YML010W	SPT5	spt5-194	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08078	YPR103W	PRE2	pre2-V214A	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04977	YKL018W	SWD2	swd2-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04956	YLR314C	CDC3	cdc3-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11940	YDL105W	NSE4	nse4-ts2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	16	B8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12346	YHR036W	BRL1	brl1-2221	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	17	C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07960	YGR113W	DAM1	dam1-11	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10667	YDR088C	SLU7	slu7-ts2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11487	YGR116W	SPT6	spt6-14	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05078	YGL116W	CDC20	cdc20-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10306	YMR005W	TAF4	taf4-18	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10346	YLR215C	CDC123	cdc123-4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11755	YKL104C	GFA1	gfa1-97	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	24	C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11943	YDR437W	GPI19	gpi19-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	25	D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07769	YKR002W	PAP1	pap1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10166	YGR099W	TEL2	tel2-7	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07908	YML064C	TEM1	tem1-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10327	YBL034C	STU1	stu1-7	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08011	YPR103W	PRE2	pre2-75	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08149	YPL160W	CDC60	cdc60-ts	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12289	YLR022C	SDO1	sdo1-VMA1-ts	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	32	D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11833	YBR079C	RPG1	rpg1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	33	E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07973	YGR113W	DAM1	dam1-19	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10106	YDR361C	BCP1	bcp1-ts	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07958	YGL061C	DUO1	duo1-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07995	YOR048C	RAT1	rat1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04980	YJR065C	ARP3	arp3-31	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05078	YGL116W	CDC20	cdc20-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11891	YKL052C	ASK1	ask1-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	40	E8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12395	YMR229C	RRP5	rrp5-delta6	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	41	F1										empty well		
Plate1-TS-Green-A-Stinger	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07395	YOR257W	CDC31	cdc31-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	43	F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07962	YGR113W	DAM1	dam1-5	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04966	YDR196C	YDR196C	ydr196c-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11354	YGL097W	SRM1	srm1-ts	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11486	YLL031C	GPI13	gpi13-4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-A-Stinger	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11708	YGR098C	ESP1	esp1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-A-Stinger	48	F8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12293	YPR161C	SGV1	sgv1-23	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-B-Stinger	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06277	YFL008W	SMC1	smc1-259	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10928	YMR213W	CEF1	cef1-13	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08260	YJL090C	DPB11	dpb11-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05078	YGL116W	CDC20	cdc20-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04974	YOR257W	CDC31	cdc31-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-B-Stinger	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12338	YPR108W	RPN7	rpn7-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12382	YLR117C	CLF1	clf1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-B-Stinger	8	A8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11921	YPR133C	SPN1	spn1-K192N	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	9	B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05129	YDL164C	CDC9	cdc9-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y09517	YER148W	SPT15	spt15-P65S	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08681	YIR008C	PRI1	pri1-M4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10327	YBL034C	STU1	stu1-7	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11150	YLR321C	SFH1	sfh1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11891	YKL052C	ASK1	ask1-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12015	YLR430W	SEN1	sen1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	16	B8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11752	YAL003W	EFB1	efb1-4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-B-Stinger	17	C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05643	YBR160W	CDC28	cdc28-td	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y09493	YNL006W	LST8	lst8-6	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-B-Stinger	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08682	YJR065C	ARP3	arp3-D11A	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07995	YOR048C	RAT1	rat1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08933	YDR510W	SMT3	smt3-331	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10055	YOR204W	DED1	ded1-F144C	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11873	YFR037C	RSC8	rsc8-ts21	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	24	C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12332	YDL147W	RPN5	rpn5-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	25	D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05041	YLR229C	CDC42	cdc42-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y09452	YBR055C	PRP6	prp6-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11620	YDL103C	QRI1	qri1-ts6	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10203	YFL034C-B	MOB2	mob2-19	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07348	YFL039C	ACT1	act1-108	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-B-Stinger	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04983	YJL097W	PHS1	phs1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-B-Stinger	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12387	YFL017C	GNA1	gna1-ts	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-B-Stinger	32	D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11878	YHR088W	RPF1	rpf1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	33	E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04722	YNL263C	YIF1	yif1-td	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-B-Stinger	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y09459	YLL003W	SFI1	sfi1-7	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11379	YGL022W	STT3	stt3-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07348	YFL039C	ACT1	act1-108	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04863	YDL017W	CDC7	cdc7-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-B-Stinger	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11413	YDR167W	TAF10	taf10-ts34	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-B-Stinger	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11929	YDR437W	GPI19	gpi19-2-XH	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-B-Stinger	40	E8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11705	YDL084W	SUB2	sub2-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-B-Stinger	41	F1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y05299	YAL041W	CDC24	cdc24-H	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08987	YAL041W	CDC24	cdc24-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	43	F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10764	YPL255W	BBP1	bbp1-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y09439	YJL019W	MPS3	mps3-7	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10284	YNL061W	NOP2	nop2-10	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Green-B-Stinger	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10097	YBR143C	SUP45	sup45-ts	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11754	YDR050C	TPI1	tpi1-1670	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Green-B-Stinger	48	F8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12284	YOL144W	NOP8	nop8-101	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08694	YNL102W	POL1	pol1-17	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10056	YPL020C	ULP1	ulp1-333	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07400	YBR109C	CMD1	cmd1-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10703	YDR460W	TFB3	tfb3-ts	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04963	YIL062C	ARC15	arc15-10	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11943	YDR437W	GPI19	gpi19-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12360	YHR036W	BRL1	brl1-C371S	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Red-A-Stinger	8	A8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12366	YHR036W	BRL1	brl1-K405I	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	9	B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08710	YKL049C	CSE4	cse4-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10023	YLR045C	STU2	stu2-13	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07385	YFR028C	CDC14	cdc14-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06598	YDR208W	MSS4	mss4-102	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10201	YGR099W	TEL2	tel2-15	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12293	YPR161C	SGV1	sgv1-23	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11719	YML049C	RSE1	rse1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	16	B8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12371	YLR007W	NSE1	nse1-16	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	17	C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08241	YJR065C	ARP3	arp3-F306G	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10028	YNL075W	IMP4	imp4-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06505	YGL130W	CEG1	ceg1-C354	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11239	YOR174W	MED4	med4-54	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07995	YOR048C	RAT1	rat1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11906	YKL052C	ASK1	ask1-2	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12311	YKL024C	URA6	ura6-4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	24	C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12014	YLR186W	EMG1	emg1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	25	D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08187	YER012W	PRE1	pre1-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Red-A-Stinger	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y09987	YLR045C	STU2	stu2-11	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
