Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Gene Identifier	Gene Symbol	Gene Symbol Synonyms	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Control Comments	Channels	Comments
Plate1-Blue-A	25	D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLL051C	FRE6		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR001C			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR020C	YEH2		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR049C			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR065C			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR085C	ARP6		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR102C	APC9		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	32	D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	33	E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR119W	SRN2	VPS37;SRN10	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLL063C	AYT1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR019W	PSR2		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR048W	RPS0B	YST2;NAB1B	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR064W			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-A	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR084C	RAX2		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
