siRNA Identifier	Gene Identifier	Gene Symbol	siRNA Hit	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9	Phenotype 10	Phenotype 11	Phenotype 12	Phenotype 13	Phenotype 14	Phenotype 15	Phenotype 16	Phenotype 17	Phenotype 18	Phenotype 19	Phenotype 20	Phenotype 21	Phenotype 22	Phenotype 23	Phenotype 24	Phenotype 25	Phenotype 26
DRSC10845	FBgn0036762	CG7430	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC10726	FBgn0036825	RpL26	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC10912	FBgn0036915	CG7757	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC11779	FBgn0036974	eRF1	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC11663	FBgn0037025	Spc105R	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC11642	FBgn0037121	Rpb8	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC11593	FBgn0037207	Mes2	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC11632	FBgn0037207	Mes2	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC11632	FBgn0037207	Mes2	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC12302	FBgn0037328	RpL35A	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC12265	FBgn0037351	RpL13A	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC12205	FBgn0037359	MED27	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC16535	FBgn0037550	CG9667	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC15890	FBgn0038049	CG5844	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC16223	FBgn0038269	Rrp6	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC15518	FBgn0038281	RpL10Aa	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC16889	FBgn0038578	MED17	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC15804	FBgn0038667	snRNP-U1	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC15119	FBgn0038834	RpS30	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC14699	FBgn0038964	Nop56	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC14209	FBgn0039120	Nup98	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC14210	FBgn0039120	Nup98	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC14630	FBgn0039218	Rpb10	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC13697	FBgn0039280	Mocs2	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC15638	FBgn0039359	RpL27	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC14887	FBgn0039404	CG14543	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC14323	FBgn0039857	RpL6	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC17126	FBgn0039923	MED26	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC17148	FBgn0039923	MED26	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC07818	FBgn0040007	RpL38	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC16846	FBgn0040283	SMC1	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC16845	FBgn0040284	SF2	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC18175	FBgn0040339	MED22	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC18561	FBgn0040394	CG16903	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC11412	FBgn0040512	zetaCOP	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC08163	FBgn0041147	ida	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC11468	FBgn0041607	asparagine-synthetase	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC11630	FBgn0044324	Chro	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC16068	FBgn0051155	Rpb7	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC15724	FBgn0051302	CG31302	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC16059	FBgn0051390	MED7	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC12270	FBgn0051559	CG31559	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC08816	FBgn0052398	CG32398	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC19716	FBgn0052635	CG32635	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC19904	FBgn0061200	Nup153	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC19904	FBgn0061200	Nup153	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC03801	FBgn0064225	RpL5	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC06787	FBgn0085436	Not1	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC06794	FBgn0085436	Not1	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC16668	FBgn0086687	desat1	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC14371	FBgn0086697	Cenp-C	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC10533	FBgn0086706	pix	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC02087	FBgn0086710	RpL30	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC10847	FBgn0087035	AGO2	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC11285	FBgn0250791	Snap	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC03401	FBgn0250843	Pros35	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC05680	FBgn0259211	grh	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC10329	FBgn0259232	CG42330	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC11270	FBgn0260441	RpS12	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC12653	FBgn0260723	CG42550	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC10088	FBgn0260857	Bet1	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC15965	FBgn0260946	exo84	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC20839	FBgn0260987	vtd	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC07560	FBgn0261014	TER94	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC11182	FBgn0261283	HLH106	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC16572	FBgn0037637	CG9836	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin																
DRSC16186	FBgn0038852	CG7056	yes	yes	single replicate of reagent			cell shape variable							decreased level of actin																
DRSC10828	FBgn0035853	CG7375	yes	yes	single replicate of reagent			cell shape variable								increased level of actin						microtubules disorganised	microtubule processes								
DRSC02092	FBgn0032725	Nedd8	yes	yes	single replicate of reagent			cell shape variable								increased level of actin						microtubules disorganised									
DRSC07358	FBgn0016131	Cdk4	yes	yes	single replicate of reagent			cell shape variable									increased cytoplasmic actin	decreased peripheral actin				microtubules disorganised	microtubule processes							loss of cell monolayer	
DRSC17741	FBgn0028474	CG4119	yes	yes	single replicate of reagent			cell shape variable									increased cytoplasmic actin	decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC17970	FBgn0260858	Ykt6	yes	yes	single replicate of reagent			cell shape variable									increased cytoplasmic actin	decreased peripheral actin												loss of cell monolayer	
DRSC00715	FBgn0021967	Pdsw	yes	yes	single replicate of reagent			cell shape variable										decreased peripheral actin			microtubule clumps		microtubule processes							loss of cell monolayer	
DRSC08664	FBgn0001233	Hsp83	yes	yes	single replicate of reagent			cell shape variable										decreased peripheral actin				microtubules disorganised	microtubule processes			increased number of multinucleate cells			decreased cell number	loss of cell monolayer	
DRSC16921	FBgn0004107	cdc2c	yes	yes	single replicate of reagent			cell shape variable										decreased peripheral actin				microtubules disorganised	microtubule processes							loss of cell monolayer	
DRSC03482	FBgn0013746	alien	yes	yes	single replicate of reagent			cell shape variable										decreased peripheral actin				microtubules disorganised	microtubule processes							loss of cell monolayer	
DRSC20373	FBgn0003392	shi	yes	yes	single replicate of reagent			cell shape variable										decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC15928	FBgn0010328	woc	yes	yes	single replicate of reagent			cell shape variable										decreased peripheral actin												loss of cell monolayer	
DRSC00612	FBgn0031492	CG3542	yes	yes	single replicate of reagent			cell shape variable												increased nuclear actin		microtubules disorganised									
DRSC08656	FBgn0010349	Dhc64C	yes	yes	single replicate of reagent			cell shape variable														microtubules disorganised	microtubule processes								
DRSC07459	FBgn0015754	Lis-1	yes	yes	single replicate of reagent			cell shape variable														microtubules disorganised	microtubule processes								
DRSC06756	FBgn0022085	ssp4	yes	yes	single replicate of reagent			cell shape variable														microtubules disorganised	microtubule processes								
DRSC11898	FBgn0003415	skd	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy	disorganised peripheral actin			asymmetric lamellae																	
DRSC17898	FBgn0026879	CG13364	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy	disorganised peripheral actin			asymmetric lamellae																	
DRSC03578	FBgn0031866	neuroligin	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy	disorganised peripheral actin			asymmetric lamellae																	
DRSC15337	FBgn0038350	CG18516	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy	disorganised peripheral actin			asymmetric lamellae																	
DRSC15101	FBgn0039832	CG15563	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy	disorganised peripheral actin			asymmetric lamellae																	
DRSC07674	FBgn0024196	robl	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy	disorganised peripheral actin												microtubule processes								
DRSC10291	FBgn0036454	CG17839	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy	disorganised peripheral actin												microtubule processes								
DRSC18836	FBgn0028982	Spt6	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy		increased number of actin stress fibres			decreased level of actin								microtubule processes							loss of cell monolayer	
DRSC20229	FBgn0000319	Chc	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy		increased number of actin stress fibres							increased peripheral actin			microtubules disorganised	microtubule processes							loss of cell monolayer	
DRSC11330	FBgn0000212	brm	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy		increased number of actin stress fibres							increased peripheral actin				microtubule processes								
DRSC03438	FBgn0001961	Sop2	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC20370	FBgn0003345	sd	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC03347	FBgn0004838	Hrb27C	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC08688	FBgn0010333	Rac1	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC20228	FBgn0010341	Cdc42	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC19332	FBgn0011742	Arp14D	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC09669	FBgn0011744	Arp66B	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC11865	FBgn0011771	Hem	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC11262	FBgn0014011	Rac2	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC04715	FBgn0016984	sktl	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC03528	FBgn0020497	emb	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC14099	FBgn0020510	Abi	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC17056	FBgn0023423	slmb	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC00331	FBgn0031249	CG11911	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC00730	FBgn0031437	p16-ARC	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC15679	FBgn0038320	Sra-1	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC16554	FBgn0039754	CG9747	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC16554	FBgn0039754	CG9747	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC03426	FBgn0041781	SCAR	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC17731	FBgn0086899	tlk	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes							loss of cell monolayer	
DRSC03192	FBgn0032512	CG9305	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy			increased number of actin puncta or dots					decreased peripheral actin					microtubule processes								
DRSC09878	FBgn0036467	CG12310	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy				asymmetric lamellae									microtubule processes								
DRSC03611	FBgn0026170	smt3	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy					decreased level of actin								microtubule processes			increased number of multinucleate cells			decreased cell number	loss of cell monolayer	
DRSC14729	FBgn0039626	Slu7	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy					decreased level of actin								microtubule processes			increased number of multinucleate cells			decreased cell number	loss of cell monolayer	
DRSC08714	FBgn0002183	dre4	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy					decreased level of actin								microtubule processes						decreased cell number	loss of cell monolayer	
DRSC11114	FBgn0023395	Chd3	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy						increased level of actin							microtubule processes								
DRSC18123	FBgn0030205	CG17255	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy						increased level of actin							microtubule processes								
DRSC20297	FBgn0005411	U2af50	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy								decreased peripheral actin					microtubule processes			increased number of multinucleate cells					
DRSC06159	FBgn0033926	Arc1	yes	yes	single replicate of reagent					cell shape processes or spiky or stretchy												microtubules disorganised	microtubule processes								
DRSC20346	FBgn0001491	l(1)10Bb	yes	yes	single replicate of reagent						disorganised peripheral actin		increased number of actin puncta or dots						increased peripheral actin												
DRSC07645	FBgn0015509	lin19	yes	yes	single replicate of reagent						disorganised peripheral actin											microtubules disorganised									multiple layers of cells
DRSC12369	FBgn0011715	Snr1	yes	yes	single replicate of reagent						disorganised peripheral actin											microtubules disorganised									
DRSC04725	FBgn0005634	zip	yes	yes	single replicate of reagent						disorganised peripheral actin															increased number of multinucleate cells					
DRSC11325	FBgn0005386	ash1	yes	yes	single replicate of reagent						disorganised peripheral actin																				multiple layers of cells
DRSC17089	FBgn0003862	trx	yes	yes	single replicate of reagent						disorganised peripheral actin																				
DRSC16018	FBgn0043884	mask	yes	yes	single replicate of reagent						disorganised peripheral actin																				
DRSC03442	FBgn0024285	Srp54	yes	yes	single replicate of reagent							increased number of actin stress fibres						decreased peripheral actin													
DRSC11778	FBgn0036973	CG5585	yes	yes	single replicate of reagent							increased number of actin stress fibres						decreased peripheral actin													
DRSC00804	FBgn0028970	betaggt-II	yes	yes	single replicate of reagent								increased number of actin puncta or dots	asymmetric lamellae				decreased peripheral actin				microtubules disorganised								loss of cell monolayer	
DRSC14625	FBgn0039205	CG13623	yes	yes	single replicate of reagent								increased number of actin puncta or dots	asymmetric lamellae																	
DRSC04893	FBgn0033062	CG7843	yes	yes	single replicate of reagent								increased number of actin puncta or dots					decreased peripheral actin												loss of cell monolayer	
DRSC16830	FBgn0010173	RpA-70	yes	yes	single replicate of reagent								increased number of actin puncta or dots					decreased peripheral actin													
DRSC00582	FBgn0031540	CG3238	yes	yes	single replicate of reagent								increased number of actin puncta or dots									microtubules disorganised									
DRSC11345	FBgn0014163	fax	yes	yes	single replicate of reagent									asymmetric lamellae	decreased level of actin																
DRSC03040	FBgn0031713	CG7277	yes	yes	single replicate of reagent									asymmetric lamellae				decreased peripheral actin													
DRSC02236	FBgn0032230	CG13139	yes	yes	single replicate of reagent									asymmetric lamellae				decreased peripheral actin													
DRSC08194	FBgn0035437	CG11526	yes	yes	single replicate of reagent									asymmetric lamellae				decreased peripheral actin													
DRSC11791	FBgn0037001	CG6020	yes	yes	single replicate of reagent									asymmetric lamellae												increased number of multinucleate cells					
DRSC14151	FBgn0027518	CG7609	yes	yes	single replicate of reagent									asymmetric lamellae																	
DRSC15017	FBgn0044826	Pak3	yes	yes	single replicate of reagent									asymmetric lamellae																	
DRSC14118	FBgn0011745	Arp87C	yes	yes	single replicate of reagent										decreased level of actin							microtubules disorganised									
DRSC10674	FBgn0035675	CG6610	yes	yes	single replicate of reagent										decreased level of actin														decreased cell number	loss of cell monolayer	
DRSC16679	FBgn0001098	Gdh	yes	yes	single replicate of reagent										decreased level of actin																
DRSC20382	FBgn0004169	up	yes	yes	single replicate of reagent										decreased level of actin																
DRSC04658	FBgn0010278	Ssrp	yes	yes	single replicate of reagent										decreased level of actin																
DRSC16827	FBgn0014023	Rlc1	yes	yes	single replicate of reagent										decreased level of actin																
DRSC11295	FBgn0029117	Surf1	yes	yes	single replicate of reagent										decreased level of actin																
DRSC19789	FBgn0030556	mRNA-capping-enzyme	yes	yes	single replicate of reagent										decreased level of actin																
DRSC02854	FBgn0032215	CG5385	yes	yes	single replicate of reagent										decreased level of actin																
DRSC16556	FBgn0039747	AdoR	yes	yes	single replicate of reagent										decreased level of actin																
DRSC15035	FBgn0039828	CG1542	yes	yes	single replicate of reagent										decreased level of actin																
DRSC18476	FBgn0040398	CG14629	yes	yes	single replicate of reagent										decreased level of actin																
DRSC18137	FBgn0040900	CG17777	yes	yes	single replicate of reagent										decreased level of actin																
DRSC03367	FBgn0086783	Mhc	yes	yes	single replicate of reagent										decreased level of actin																
DRSC03599	FBgn0003209	raw	yes	yes	single replicate of reagent											increased level of actin						microtubules disorganised									multiple layers of cells
DRSC01011	FBgn0011219	Bsg	yes	yes	single replicate of reagent											increased level of actin						microtubules disorganised									multiple layers of cells
DRSC20094	FBgn0030858	CG8211	yes	yes	single replicate of reagent											increased level of actin						microtubules disorganised									multiple layers of cells
DRSC17114	FBgn0259214	PMCA	yes	yes	single replicate of reagent											increased level of actin						microtubules disorganised									multiple layers of cells
DRSC17154	FBgn0259214	PMCA	yes	yes	single replicate of reagent											increased level of actin						microtubules disorganised									multiple layers of cells
DRSC06800	FBgn0002891	mus205	yes	yes	single replicate of reagent											increased level of actin															multiple layers of cells
DRSC00809	FBgn0011570	cpb	yes	yes	single replicate of reagent											increased level of actin															multiple layers of cells
DRSC16596	FBgn0015610	Caf1	yes	yes	single replicate of reagent											increased level of actin															multiple layers of cells
DRSC18420	FBgn0030091	CG7065	yes	yes	single replicate of reagent											increased level of actin															multiple layers of cells
DRSC04080	FBgn0034577	cpa	yes	yes	single replicate of reagent											increased level of actin															multiple layers of cells
DRSC11222	FBgn0013591	Mi-2	yes	yes	single replicate of reagent											increased level of actin															
DRSC02014	FBgn0032800	CG10137	yes	yes	single replicate of reagent													decreased peripheral actin													
DRSC04718	FBgn0011726	tsr	yes	yes	single replicate of reagent														increased peripheral actin							increased number of multinucleate cells					
DRSC00806	FBgn0028388	capt	yes	yes	single replicate of reagent														increased peripheral actin												
DRSC18787	FBgn0001337	Exp6	yes	yes	single replicate of reagent															increased nuclear actin											
DRSC11836	FBgn0037093	CG7597	yes	yes	single replicate of reagent															increased nuclear actin											
DRSC14462	FBgn0037657	hyx	yes	yes	single replicate of reagent															increased nuclear actin											
DRSC13805	FBgn0051077	CG31077	yes	yes	single replicate of reagent																microtubule clumps				increased level of microtubules						
DRSC19573	FBgn0031030	Tao-1	yes	yes	single replicate of reagent																	microtubules disorganised	microtubule processes								multiple layers of cells
DRSC20388	FBgn0003654	sw	yes	yes	single replicate of reagent																	microtubules disorganised	microtubule processes								
DRSC11235	FBgn0024542	Neos	yes	yes	single replicate of reagent																	microtubules disorganised									
DRSC12622	FBgn0003884	alphaTub84B	yes	yes	single replicate of reagent																			decreased level of microtubules			increased DNA area		decreased cell number		
DRSC12623	FBgn0003885	alphaTub84D	yes	yes	single replicate of reagent																			decreased level of microtubules			increased DNA area		decreased cell number		
DRSC16899	FBgn0003886	alphaTub85E	yes	yes	single replicate of reagent																			decreased level of microtubules			increased DNA area		decreased cell number		
DRSC07583	FBgn0003887	betaTub56D	yes	yes	single replicate of reagent																			decreased level of microtubules			increased DNA area		decreased cell number		
DRSC16910	FBgn0003889	betaTub85D	yes	yes	single replicate of reagent																			decreased level of microtubules			increased DNA area		decreased cell number		
DRSC15666	FBgn0003890	betaTub97EF	yes	yes	single replicate of reagent																			decreased level of microtubules			increased DNA area		decreased cell number		
DRSC15667	FBgn0003890	betaTub97EF	yes	yes	single replicate of reagent																			decreased level of microtubules			increased DNA area		decreased cell number		
DRSC07665	FBgn0003114	plu	yes	yes	single replicate of reagent																			decreased level of microtubules							
DRSC07513	FBgn0003140	PpY-55A	yes	yes	single replicate of reagent																			decreased level of microtubules							
DRSC07677	FBgn0003326	sca	yes	yes	single replicate of reagent																			decreased level of microtubules							
DRSC07568	FBgn0026316	UbcD10	yes	yes	single replicate of reagent																			decreased level of microtubules							
DRSC14145	FBgn0027889	ball	yes	yes	single replicate of reagent																			decreased level of microtubules							
DRSC06987	FBgn0034165	CG6435	yes	yes	single replicate of reagent																			decreased level of microtubules							
DRSC16524	FBgn0051150	CG31150	yes	yes	single replicate of reagent																			decreased level of microtubules							
DRSC16224	FBgn0053547	Rim	yes	yes	single replicate of reagent																			decreased level of microtubules							
DRSC19809	FBgn0259166	CG42271	yes	yes	single replicate of reagent																			decreased level of microtubules							
DRSC15611	FBgn0261053	Cad86C	yes	yes	single replicate of reagent																			decreased level of microtubules							
DRSC01893	FBgn0028538	sec71	yes	yes	single replicate of reagent																					increased number of multinucleate cells					
DRSC04624	FBgn0002787	Mov34	yes	yes	single replicate of reagent																							no cells			
DRSC05723	FBgn0010575	sbb	yes	yes	single replicate of reagent																							no cells			
DRSC07159	FBgn0010590	Prosbeta1	yes	yes	single replicate of reagent																							no cells			
DRSC16703	FBgn0013981	His4r	yes	yes	single replicate of reagent																							no cells			
DRSC16799	FBgn0015282	Pros26.4	yes	yes	single replicate of reagent																							no cells			
DRSC18720	FBgn0015818	Spx	yes	yes	single replicate of reagent																							no cells			
DRSC18659	FBgn0026085	dgt4	yes	yes	single replicate of reagent																							no cells			
DRSC16842	FBgn0028684	Tbp-1	yes	yes	single replicate of reagent																							no cells			
DRSC16839	FBgn0028692	Rpn2	yes	yes	single replicate of reagent																							no cells			
DRSC05669	FBgn0034253	CG10936	yes	yes	single replicate of reagent																							no cells			
DRSC04469	FBgn0034660	lox2	yes	yes	single replicate of reagent																							no cells			
DRSC04010	FBgn0034990	CG11406	yes	yes	single replicate of reagent																							no cells			
DRSC15627	FBgn0038742	Arc42	yes	yes	single replicate of reagent																							no cells			
DRSC16344	FBgn0042693	PP2A-B`	yes	yes	single replicate of reagent																							no cells			
DRSC06126	FBgn0050089	CG30089	yes	yes	single replicate of reagent																							no cells			
DRSC05602	FBgn0050100	CG30100	yes	yes	single replicate of reagent																							no cells			
DRSC17105	FBgn0051997	CG31997	yes	yes	single replicate of reagent																							no cells			
DRSC18081	FBgn0053080	CG33080	yes	yes	single replicate of reagent																							no cells			
DRSC13231	FBgn0054035	CG34035	yes	yes	single replicate of reagent																							no cells			
DRSC17794	FBgn0086558	Ubi-p5E	yes	yes	single replicate of reagent																							no cells			
DRSC11404	FBgn0260635	th	yes	yes	single replicate of reagent																							no cells			
