Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Gene Identifier	Gene Symbol	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments
Target-2-B	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLL049W	LDB18	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YBR021W	FUR4	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR362W	STE11	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YCR044C	PER1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YCR047C	BUD23	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YKL169C		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	16	B8								empty well		
Target-2-B	17	C1								empty well		
Target-2-B	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YIL009C-A	EST3	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YMR172W	HOT1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YBR116C		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	24	C8								empty well		
Target-2-B	25	D1								empty well		
Target-2-B	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YIL039W	TED1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YJR121W	ATP2	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YBR130C	SHE3	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YBL046W	PSY4	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YDL159W	STE7	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YPR072W	NOT5	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	32	D8								empty well		
Target-2-B	33	E1								empty well		
Target-2-B	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YFR001W	LOC1	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YDL232W	OST4	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YBR128C	ATG14	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YHR200W	RPN10	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YDL158C		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YJL075C	APQ13	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	40	E8								empty well		
Target-2-B	41	F1								empty well		
Target-2-B	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	43	F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YJR073C	OPI3	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YDL042C	SIR2	"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"
Target-2-B	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YFR016C		"SGD, 1999"	"SGD, 1999"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	"SGD, 1999"	"SGD, 1999"	negative control	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Target-2-B	48	F8								empty well		
