Plate	Plate Column	Plate Row	Well	Well Number	Comments
experiment_11	4	8	H4	88	annotation coming soon
experiment_11	5	8	H5	89	annotation coming soon
experiment_11	6	8	H6	90	annotation coming soon
experiment_11	7	8	H7	91	annotation coming soon
experiment_11	8	8	H8	92	annotation coming soon
experiment_11	9	8	H9	93	annotation coming soon
experiment_12	1	3	C1	25	annotation coming soon
experiment_12	2	3	C2	26	annotation coming soon
experiment_12	3	3	C3	27	annotation coming soon
experiment_12	4	3	C4	28	annotation coming soon
experiment_12	5	3	C5	29	annotation coming soon
experiment_12	6	3	C6	30	annotation coming soon
experiment_12	7	3	C7	31	annotation coming soon
experiment_12	8	3	C8	32	annotation coming soon
experiment_12	9	3	C9	33	annotation coming soon
experiment_13	1	2	B1	13	annotation coming soon
experiment_13	2	2	B2	14	annotation coming soon
experiment_13	3	2	B3	15	annotation coming soon
experiment_13	4	2	B4	16	annotation coming soon
experiment_13	5	2	B5	17	annotation coming soon
experiment_13	6	2	B6	18	annotation coming soon
experiment_13	7	2	B7	19	annotation coming soon
experiment_13	8	2	B8	20	annotation coming soon
experiment_13	9	2	B9	21	annotation coming soon
experiment_13	1	3	C1	25	annotation coming soon
experiment_13	2	3	C2	26	annotation coming soon
experiment_13	3	3	C3	27	annotation coming soon
experiment_13	4	3	C4	28	annotation coming soon
experiment_13	5	3	C5	29	annotation coming soon
experiment_13	6	3	C6	30	annotation coming soon
experiment_13	7	3	C7	31	annotation coming soon
experiment_13	8	3	C8	32	annotation coming soon
experiment_13	9	3	C9	33	annotation coming soon
experiment_13	1	4	D1	37	annotation coming soon
experiment_13	2	4	D2	38	annotation coming soon
experiment_13	3	4	D3	39	annotation coming soon
experiment_13	4	4	D4	40	annotation coming soon
experiment_13	5	4	D5	41	annotation coming soon
experiment_13	6	4	D6	42	annotation coming soon
experiment_13	7	4	D7	43	annotation coming soon
experiment_13	8	4	D8	44	annotation coming soon
experiment_13	9	4	D9	45	annotation coming soon
experiment_13	1	5	E1	49	annotation coming soon
experiment_13	2	5	E2	50	annotation coming soon
experiment_13	3	5	E3	51	annotation coming soon
experiment_13	4	5	E4	52	annotation coming soon
experiment_13	5	5	E5	53	annotation coming soon
experiment_13	6	5	E6	54	annotation coming soon
experiment_13	7	5	E7	55	annotation coming soon
experiment_13	8	5	E8	56	annotation coming soon
experiment_13	9	5	E9	57	annotation coming soon
experiment_14_plate1	1	1	A1	1	annotation coming soon
experiment_14_plate1	2	1	A2	2	annotation coming soon
experiment_14_plate1	3	1	A3	3	annotation coming soon
experiment_14_plate1	4	1	A4	4	annotation coming soon
experiment_14_plate1	5	1	A5	5	annotation coming soon
experiment_14_plate1	6	1	A6	6	annotation coming soon
experiment_14_plate1	7	1	A7	7	annotation coming soon
experiment_14_plate1	8	1	A8	8	annotation coming soon
experiment_14_plate1	9	1	A9	9	annotation coming soon
experiment_14_plate1	1	2	B1	13	annotation coming soon
experiment_14_plate1	2	2	B2	14	annotation coming soon
experiment_14_plate1	3	2	B3	15	annotation coming soon
experiment_14_plate1	4	2	B4	16	annotation coming soon
experiment_14_plate1	5	2	B5	17	annotation coming soon
experiment_14_plate1	6	2	B6	18	annotation coming soon
experiment_14_plate1	7	2	B7	19	annotation coming soon
experiment_14_plate1	8	2	B8	20	annotation coming soon
experiment_14_plate1	9	2	B9	21	annotation coming soon
experiment_14_plate1	1	5	E1	49	annotation coming soon
experiment_14_plate1	2	5	E2	50	annotation coming soon
experiment_14_plate1	3	5	E3	51	annotation coming soon
experiment_14_plate1	4	5	E4	52	annotation coming soon
experiment_14_plate1	5	5	E5	53	annotation coming soon
experiment_14_plate1	6	5	E6	54	annotation coming soon
experiment_14_plate1	7	5	E7	55	annotation coming soon
experiment_14_plate1	8	5	E8	56	annotation coming soon
experiment_14_plate1	9	5	E9	57	annotation coming soon
experiment_14_plate1	1	6	F1	61	annotation coming soon
experiment_14_plate1	2	6	F2	62	annotation coming soon
experiment_14_plate1	3	6	F3	63	annotation coming soon
experiment_14_plate1	4	6	F4	64	annotation coming soon
experiment_14_plate1	5	6	F5	65	annotation coming soon
experiment_14_plate1	6	6	F6	66	annotation coming soon
experiment_14_plate1	7	6	F7	67	annotation coming soon
experiment_14_plate1	8	6	F8	68	annotation coming soon
experiment_14_plate1	9	6	F9	69	annotation coming soon
experiment_14_plate2	1	4	D1	37	annotation coming soon
experiment_14_plate2	2	4	D2	38	annotation coming soon
experiment_14_plate2	3	4	D3	39	annotation coming soon
experiment_14_plate2	4	4	D4	40	annotation coming soon
experiment_14_plate2	5	4	D5	41	annotation coming soon
experiment_14_plate2	6	4	D6	42	annotation coming soon
experiment_14_plate2	7	4	D7	43	annotation coming soon
experiment_14_plate2	8	4	D8	44	annotation coming soon
experiment_14_plate2	9	4	D9	45	annotation coming soon
experiment_14_plate2	1	6	F1	61	annotation coming soon
experiment_14_plate2	2	6	F2	62	annotation coming soon
experiment_14_plate2	3	6	F3	63	annotation coming soon
experiment_14_plate2	4	6	F4	64	annotation coming soon
experiment_14_plate2	5	6	F5	65	annotation coming soon
experiment_14_plate2	6	6	F6	66	annotation coming soon
experiment_14_plate2	7	6	F7	67	annotation coming soon
experiment_14_plate2	8	6	F8	68	annotation coming soon
experiment_14_plate2	9	6	F9	69	annotation coming soon
experiment_14_plate3	1	3	C1	25	annotation coming soon
experiment_14_plate3	2	3	C2	26	annotation coming soon
experiment_14_plate3	3	3	C3	27	annotation coming soon
experiment_14_plate3	4	3	C4	28	annotation coming soon
experiment_14_plate3	5	3	C5	29	annotation coming soon
experiment_14_plate3	6	3	C6	30	annotation coming soon
experiment_14_plate3	7	3	C7	31	annotation coming soon
experiment_14_plate3	8	3	C8	32	annotation coming soon
experiment_14_plate3	9	3	C9	33	annotation coming soon
experiment_14_plate3	1	5	E1	49	annotation coming soon
experiment_14_plate3	2	5	E2	50	annotation coming soon
experiment_14_plate3	3	5	E3	51	annotation coming soon
experiment_14_plate3	4	5	E4	52	annotation coming soon
experiment_14_plate3	5	5	E5	53	annotation coming soon
experiment_14_plate3	6	5	E6	54	annotation coming soon
experiment_14_plate3	7	5	E7	55	annotation coming soon
experiment_14_plate3	8	5	E8	56	annotation coming soon
experiment_14_plate3	9	5	E9	57	annotation coming soon
experiment_14_plate3	1	6	F1	61	annotation coming soon
experiment_14_plate3	2	6	F2	62	annotation coming soon
experiment_14_plate3	3	6	F3	63	annotation coming soon
experiment_14_plate3	4	6	F4	64	annotation coming soon
experiment_14_plate3	5	6	F5	65	annotation coming soon
experiment_14_plate3	6	6	F6	66	annotation coming soon
experiment_14_plate3	7	6	F7	67	annotation coming soon
experiment_14_plate3	8	6	F8	68	annotation coming soon
experiment_14_plate3	9	6	F9	69	annotation coming soon
experiment_15	1	1	A1	1	annotation coming soon
experiment_15	2	1	A2	2	annotation coming soon
experiment_15	3	1	A3	3	annotation coming soon
experiment_15	4	1	A4	4	annotation coming soon
experiment_15	5	1	A5	5	annotation coming soon
experiment_15	6	1	A6	6	annotation coming soon
experiment_15	7	1	A7	7	annotation coming soon
experiment_15	8	1	A8	8	annotation coming soon
experiment_15	9	1	A9	9	annotation coming soon
experiment_15	1	2	B1	13	annotation coming soon
experiment_15	2	2	B2	14	annotation coming soon
experiment_15	3	2	B3	15	annotation coming soon
experiment_15	4	2	B4	16	annotation coming soon
experiment_15	5	2	B5	17	annotation coming soon
experiment_15	6	2	B6	18	annotation coming soon
experiment_15	7	2	B7	19	annotation coming soon
experiment_15	8	2	B8	20	annotation coming soon
experiment_15	9	2	B9	21	annotation coming soon
experiment_15	1	3	C1	25	annotation coming soon
experiment_15	2	3	C2	26	annotation coming soon
experiment_15	3	3	C3	27	annotation coming soon
experiment_15	4	3	C4	28	annotation coming soon
experiment_15	5	3	C5	29	annotation coming soon
experiment_15	6	3	C6	30	annotation coming soon
experiment_15	7	3	C7	31	annotation coming soon
experiment_15	8	3	C8	32	annotation coming soon
experiment_15	9	3	C9	33	annotation coming soon
experiment_15	1	6	F1	61	annotation coming soon
experiment_15	2	6	F2	62	annotation coming soon
experiment_15	3	6	F3	63	annotation coming soon
experiment_15	4	6	F4	64	annotation coming soon
experiment_15	5	6	F5	65	annotation coming soon
experiment_15	6	6	F6	66	annotation coming soon
experiment_15	7	6	F7	67	annotation coming soon
experiment_15	8	6	F8	68	annotation coming soon
experiment_15	9	6	F9	69	annotation coming soon
experiment_15	1	8	H1	85	annotation coming soon
experiment_15	2	8	H2	86	annotation coming soon
experiment_15	3	8	H3	87	annotation coming soon
experiment_15	4	8	H4	88	annotation coming soon
experiment_15	5	8	H5	89	annotation coming soon
experiment_15	6	8	H6	90	annotation coming soon
experiment_15	7	8	H7	91	annotation coming soon
experiment_15	8	8	H8	92	annotation coming soon
experiment_15	9	8	H9	93	annotation coming soon
experiment_16	1	1	A1	1	annotation coming soon
experiment_16	2	1	A2	2	annotation coming soon
experiment_16	3	1	A3	3	annotation coming soon
experiment_16	4	1	A4	4	annotation coming soon
experiment_16	5	1	A5	5	annotation coming soon
experiment_16	6	1	A6	6	annotation coming soon
experiment_16	7	1	A7	7	annotation coming soon
experiment_16	8	1	A8	8	annotation coming soon
experiment_16	9	1	A9	9	annotation coming soon
experiment_16	1	2	B1	13	annotation coming soon
experiment_16	2	2	B2	14	annotation coming soon
experiment_16	3	2	B3	15	annotation coming soon
experiment_16	4	2	B4	16	annotation coming soon
experiment_16	5	2	B5	17	annotation coming soon
experiment_16	6	2	B6	18	annotation coming soon
experiment_16	7	2	B7	19	annotation coming soon
experiment_16	8	2	B8	20	annotation coming soon
experiment_16	9	2	B9	21	annotation coming soon
experiment_16	1	3	C1	25	annotation coming soon
experiment_16	2	3	C2	26	annotation coming soon
experiment_16	3	3	C3	27	annotation coming soon
experiment_16	4	3	C4	28	annotation coming soon
experiment_16	5	3	C5	29	annotation coming soon
experiment_16	6	3	C6	30	annotation coming soon
experiment_16	7	3	C7	31	annotation coming soon
experiment_16	8	3	C8	32	annotation coming soon
experiment_16	9	3	C9	33	annotation coming soon
experiment_16	1	4	D1	37	annotation coming soon
experiment_16	2	4	D2	38	annotation coming soon
experiment_16	3	4	D3	39	annotation coming soon
experiment_16	4	4	D4	40	annotation coming soon
experiment_16	5	4	D5	41	annotation coming soon
experiment_16	6	4	D6	42	annotation coming soon
experiment_16	7	4	D7	43	annotation coming soon
experiment_16	8	4	D8	44	annotation coming soon
experiment_16	9	4	D9	45	annotation coming soon
experiment_16	1	6	F1	61	annotation coming soon
experiment_16	2	6	F2	62	annotation coming soon
experiment_16	3	6	F3	63	annotation coming soon
experiment_16	4	6	F4	64	annotation coming soon
experiment_16	5	6	F5	65	annotation coming soon
experiment_16	6	6	F6	66	annotation coming soon
experiment_16	7	6	F7	67	annotation coming soon
experiment_16	8	6	F8	68	annotation coming soon
experiment_16	9	6	F9	69	annotation coming soon
experiment_17	1	1	A1	1	annotation coming soon
experiment_17	2	1	A2	2	annotation coming soon
experiment_17	3	1	A3	3	annotation coming soon
experiment_17	4	1	A4	4	annotation coming soon
