Source Name	Characteristics[Organism]	Term Source REF	Term Source Accession	Characteristics[Cell Line]	Term Source REF	Term Source Accession	Characteristics [Replicate Group]	Protocol REF	Protocol REF	Assay Name	Factor Value[Targeted Protein]	Comment[Gene Identifier]	Comment[Gene Symbol]	Comment[Gene Symbol Synonyms]	Factor Value [Antibody]	Channels	Dataset Name	Comment [Image File Type]	Comment[Image File Comment]	Image File Path	Image Name	Protocol REF	Processed Data File
Nup107-aa33-51_antibody_3	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_3	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_3	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_3	raw		/Nup107/Nup107-aa33-51_antibody/130430_Nup107_3/Nup107_4/	nup107_low600_corr2_4.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup107-aa33-51_antibody_3	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup107-aa33-51_antibody_3	growth protocol	image aquistion and feature extraction protocol	Nup107-aa33-51_antibody_3	Nup107	ENSG00000111581	NUP107	NUP84	Nup107-aa33-51 antibody	greyscale	Nup107-aa33-51_antibody_3	raw		/Nup107/Nup107-aa33-51_antibody/130430_Nup107_3/Nup107_5/	nup107_low600_corr2_5.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_1	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_1	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_1	derived		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_1/AllParticles/	all_particles.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_1	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_1	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_1	derived		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_1/AllParticles/	SUM_trans_norm.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_1	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_1	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_1	derived		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_1/AllParticles/	trans_norm.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_1	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_1	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_1	raw		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_1/Nup133_gp_3/	nup133_corr1_low500_3.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_1	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_1	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_1	raw		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_1/Nup133_gp_5/	nup133_corr1_low500_5.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_1	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_1	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_1	raw		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_1/Nup133_gp_6/	nup133_corr1_low500_6.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_1	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_1	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_1	raw		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_1/Nup133_gp_1/	nup133_corr2_low500_1.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_1	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_1	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_1	raw		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_1/Nup133_gp_4/	nup133_corr2_low500_4.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_1	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_1	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_1	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_1	hed	"tif file missing, .hed file was supplied."	/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_1/Nup133_gp_2/	nup133_corr1_low500_2.hed	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_2	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_2	derived		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_2/AllParticles/	all_particles.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_2	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_2	derived		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_2/AllParticles/	SUM_trans_norm.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_2	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_2	derived		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_2/AllParticles/	trans_norm.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_2	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_2	raw		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_2/Nup133_gp_1/	nup133_corr1_low500_1.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_2	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_2	raw		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_2/Nup133_gp_3/	nup133_corr1_low500_3.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_2	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_2	raw		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_2/Nup133_gp_5/	nup133_corr1_low500_5.tif	data analysis protocol	idr0023-experimentA-processed.txt
Nup133-aa566-582_antibody_2	Homo sapiens	NCBITaxon	NCBITaxon_9606	U2OS	EFO	EFO_0002869	Nup133-aa566-582_antibody_2	growth protocol	image aquistion and feature extraction protocol	Nup133-aa566-582_antibody_2	Nup133	ENSG00000069248	NUP133	"FLJ10814, hNUP133"	Nup133-aa566-582 antibody	greyscale	Nup133-aa566-582_antibody_2	raw		/Nup133/Nup133-aa566-582_antibody_gp/120810_nup133_gp_2/Nup133_gp_6/	nup133_corr1_low500_6.tif	data analysis protocol	idr0023-experimentA-processed.txt
