Plate	Well	Plate_Well	Gene Identifier	Gene Symbol	Experimental Condition[genotype]	Changed in allR	Observation	Phenotype
smt3allR_plate4	A19	smt3allR_plate4_A19	YIL068C	SEC6	smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
WT_plate4	A19	WT_plate4_A19	YIL068C	SEC6	wild type smt3	yes		
pro-smt3allR_plate1	M7	pro-smt3allR_plate1_M7	YIL108W	YIL108W	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate1	M7	smt3allR_plate1_M7	YIL108W	YIL108W	smt3allR	yes	no colony	
WT_plate1	M7	WT_plate1_M7	YIL108W	YIL108W	wild type smt3	yes		
pro-smt3allR_plate3	E17	pro-smt3allR_plate3_E17	YIL148W	RPL40A	pro-smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
smt3allR_plate3	E17	smt3allR_plate3_E17	YIL148W	RPL40A	smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
WT_plate3	E17	WT_plate3_E17	YIL148W	RPL40A	wild type smt3	yes		
pro-smt3allR_plate4	I13	pro-smt3allR_plate4_I13	YIR014W	YIR014W	pro-smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
smt3allR_plate4	I13	smt3allR_plate4_I13	YIR014W	YIR014W	smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
WT_plate4	I13	WT_plate4_I13	YIR014W	YIR014W	wild type smt3	yes		
pro-smt3allR_plate4	G17	pro-smt3allR_plate4_G17	YJL053W	PEP8	pro-smt3allR	yes	more foci per cell	the smt3allR mutant has more foci per cell than WT
smt3allR_plate4	G17	smt3allR_plate4_G17	YJL053W	PEP8	smt3allR	yes	more foci per cell	the smt3allR mutant has more foci per cell than WT
WT_plate4	G17	WT_plate4_G17	YJL053W	PEP8	wild type smt3	yes		
pro-smt3allR_plate1	K11	pro-smt3allR_plate1_K11	YJL090C	DPB11	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate1	K11	smt3allR_plate1_K11	YJL090C	DPB11	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate1	K11	WT_plate1_K11	YJL090C	DPB11	wild type smt3	yes		
pro-smt3allR_plate1	A21	pro-smt3allR_plate1_A21	YJL092W	HPR5/SRS2	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate1	A21	smt3allR_plate1_A21	YJL092W	HPR5/SRS2	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate1	A21	WT_plate1_A21	YJL092W	HPR5/SRS2	wild type smt3	yes		
pro-smt3allR_plate3	K7	pro-smt3allR_plate3_K7	YJL124C	LSM1	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	K7	smt3allR_plate3_K7	YJL124C	LSM1	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	K7	WT_plate3_K7	YJL124C	LSM1	wild type smt3	yes		
smt3allR_plate3	G13	smt3allR_plate3_G13	YJR056C	YJR056C	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
pro-smt3allR_plate3	G13	pro-smt3allR_plate3_G13	YJR056C	YJR056C	pro-smt3allR	yes		
WT_plate3	G13	WT_plate3_G13	YJR056C	YJR056C	wild type smt3	yes		
pro-smt3allR_plate2	O15	pro-smt3allR_plate2_O15	YJR068W	RFC2	pro-smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
smt3allR_plate2	O15	smt3allR_plate2_O15	YJR068W	RFC2	smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
WT_plate2	O15	WT_plate2_O15	YJR068W	RFC2	wild type smt3	yes		
pro-smt3allR_plate2	O9	pro-smt3allR_plate2_O9	YJR139C	HOM6	pro-smt3allR	yes	brighter foci	the smt3allR mutant displays brighter foci than WT
smt3allR_plate2	O9	smt3allR_plate2_O9	YJR139C	HOM6	smt3allR	yes	brighter foci	the smt3allR mutant displays brighter foci than WT
WT_plate2	O9	WT_plate2_O9	YJR139C	HOM6	wild type smt3	yes		
pro-smt3allR_plate3	K11	pro-smt3allR_plate3_K11	YKL069W	YKL069W	pro-smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
smt3allR_plate3	K11	smt3allR_plate3_K11	YKL069W	YKL069W	smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
WT_plate3	K11	WT_plate3_K11	YKL069W	YKL069W	wild type smt3	yes		
pro-smt3allR_plate2	G9	pro-smt3allR_plate2_G9	YKL103C	LAP4	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate2	G9	smt3allR_plate2_G9	YKL103C	LAP4	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate2	G9	WT_plate2_G9	YKL103C	LAP4	wild type smt3	yes		
pro-smt3allR_plate4	A23	pro-smt3allR_plate4_A23	YKR001C	Vps1	pro-smt3allR	yes	more foci per cell	the smt3allR mutant has more foci per cell than WT
smt3allR_plate4	A23	smt3allR_plate4_A23	YKR001C	Vps1	smt3allR	yes	more foci per cell	the smt3allR mutant has more foci per cell than WT
WT_plate4	A23	WT_plate4_A23	YKR001C	Vps1	wild type smt3	yes		
pro-smt3allR_plate2	O3	pro-smt3allR_plate2_O3	YKR011C	YKR011C	pro-smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
smt3allR_plate2	O3	smt3allR_plate2_O3	YKR011C	YKR011C	smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
WT_plate2	O3	WT_plate2_O3	YKR011C	YKR011C	wild type smt3	yes		
pro-smt3allR_plate3	C23	pro-smt3allR_plate3_C23	YLR003C	CMS1	pro-smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
smt3allR_plate3	C23	smt3allR_plate3_C23	YLR003C	CMS1	smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
WT_plate3	C23	WT_plate3_C23	YLR003C	CMS1	wild type smt3	yes		
pro-smt3allR_plate3	G7	pro-smt3allR_plate3_G7	YLR126C	YLR126C	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	G7	smt3allR_plate3_G7	YLR126C	YLR126C	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	G7	WT_plate3_G7	YLR126C	YLR126C	wild type smt3	yes		
pro-smt3allR_plate1	M3	pro-smt3allR_plate1_M3	YLR135W	SLX4	pro-smt3allR	yes	less foci	the smt3allR mutant population has fewer cells with foci than WT
smt3allR_plate1	M3	smt3allR_plate1_M3	YLR135W	SLX4	smt3allR	yes	less foci	the smt3allR mutant population has fewer cells with foci than WT
WT_plate1	M3	WT_plate1_M3	YLR135W	SLX4	wild type smt3	yes		
pro-smt3allR_plate4	C3	pro-smt3allR_plate4_C3	YLR166C	SEC10	pro-smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
smt3allR_plate4	C3	smt3allR_plate4_C3	YLR166C	SEC10	smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
WT_plate4	C3	WT_plate4_C3	YLR166C	SEC10	wild type smt3	yes		
pro-smt3allR_plate1	O13	pro-smt3allR_plate1_O13	YLR258W	GSY2	pro-smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
smt3allR_plate1	O13	smt3allR_plate1_O13	YLR258W	GSY2	smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
WT_plate1	O13	WT_plate1_O13	YLR258W	GSY2	wild type smt3	yes		
pro-smt3allR_plate3	K23	pro-smt3allR_plate3_K23	YLR297W	YLR297W	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	K23	smt3allR_plate3_K23	YLR297W	YLR297W	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	K23	WT_plate3_K23	YLR297W	YLR297W	wild type smt3	yes		
pro-smt3allR_plate3	I5	pro-smt3allR_plate3_I5	YLR363C	NMD4	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	I5	smt3allR_plate3_I5	YLR363C	NMD4	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	I5	WT_plate3_I5	YLR363C	NMD4	wild type smt3	yes		
pro-smt3allR_plate3	O5	pro-smt3allR_plate3_O5	YLR363W-A	YLR363W-A	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	O5	smt3allR_plate3_O5	YLR363W-A	YLR363W-A	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	O5	WT_plate3_O5	YLR363W-A	YLR363W-A	wild type smt3	yes		
pro-smt3allR_plate2	C9	pro-smt3allR_plate2_C9	YLR401C	DUS3	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate2	C9	smt3allR_plate2_C9	YLR401C	DUS3	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate2	C9	WT_plate2_C9	YLR401C	DUS3	wild type smt3	yes		
pro-smt3allR_plate3	O15	pro-smt3allR_plate3_O15	YLR438C-A	LSM3	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	O15	smt3allR_plate3_O15	YLR438C-A	LSM3	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	O15	WT_plate3_O15	YLR438C-A	LSM3	wild type smt3	yes		
pro-smt3allR_plate4	I5	pro-smt3allR_plate4_I5	YML018C	YML018C	pro-smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
smt3allR_plate4	I5	smt3allR_plate4_I5	YML018C	YML018C	smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
WT_plate4	I5	WT_plate4_I5	YML018C	YML018C	wild type smt3	yes		
pro-smt3allR_plate3	I23	pro-smt3allR_plate3_I23	YML028W	TSA1	pro-smt3allR	yes	less foci	the smt3allR mutant population has fewer cells with foci than WT
smt3allR_plate3	I23	smt3allR_plate3_I23	YML028W	TSA1	smt3allR	yes	less foci	the smt3allR mutant population has fewer cells with foci than WT
WT_plate3	I23	WT_plate3_I23	YML028W	TSA1	wild type smt3	yes		
pro-smt3allR_plate2	E19	pro-smt3allR_plate2_E19	YML032C	RAD52	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate2	E19	smt3allR_plate2_E19	YML032C	RAD52	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate2	E19	WT_plate2_E19	YML032C	RAD52	wild type smt3	yes		
pro-smt3allR_plate4	O19	pro-smt3allR_plate4_O19	YML108W	YML108W	pro-smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
smt3allR_plate4	O19	smt3allR_plate4_O19	YML108W	YML108W	smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
WT_plate4	O19	WT_plate4_O19	YML108W	YML108W	wild type smt3	yes		
pro-smt3allR_plate1	O11	pro-smt3allR_plate1_O11	YMR037C	MSN2	pro-smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
smt3allR_plate1	O11	smt3allR_plate1_O11	YMR037C	MSN2	smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
WT_plate1	O11	WT_plate1_O11	YMR037C	MSN2	wild type smt3	yes		
pro-smt3allR_plate1	E19	pro-smt3allR_plate1_E19	YMR080C	NAM7	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate1	E19	smt3allR_plate1_E19	YMR080C	NAM7	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate1	E19	WT_plate1_E19	YMR080C	NAM7	wild type smt3	yes		
pro-smt3allR_plate2	I17	pro-smt3allR_plate2_I17	YMR111C	YMR111C	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate2	I17	smt3allR_plate2_I17	YMR111C	YMR111C	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate2	I17	WT_plate2_I17	YMR111C	YMR111C	wild type smt3	yes		
pro-smt3allR_plate4	E21	pro-smt3allR_plate4_E21	YMR153W	NUP53	pro-smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
smt3allR_plate4	E21	smt3allR_plate4_E21	YMR153W	NUP53	smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
WT_plate4	E21	WT_plate4_E21	YMR153W	NUP53	wild type smt3	yes		
pro-smt3allR_plate3	K13	pro-smt3allR_plate3_K13	YMR159C	ATG16	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	K13	smt3allR_plate3_K13	YMR159C	ATG16	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	K13	WT_plate3_K13	YMR159C	ATG16	wild type smt3	yes		
pro-smt3allR_plate1	A1	pro-smt3allR_plate1_A1	YMR190C	SGS1	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate1	A1	smt3allR_plate1_A1	YMR190C	SGS1	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate1	A1	WT_plate1_A1	YMR190C	SGS1	wild type smt3	yes		
pro-smt3allR_plate1	O15	pro-smt3allR_plate1_O15	YMR192W	GYL1	pro-smt3allR	yes	some mislocalized foci	smt3allR mutant cells display foci with localization that differs from WT
smt3allR_plate1	O15	smt3allR_plate1_O15	YMR192W	GYL1	smt3allR	yes	some mislocalized foci	smt3allR mutant cells display foci with localization that differs from WT
WT_plate1	O15	WT_plate1_O15	YMR192W	GYL1	wild type smt3	yes		
pro-smt3allR_plate1	M21	pro-smt3allR_plate1_M21	YMR224C	MRE11	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate1	M21	smt3allR_plate1_M21	YMR224C	MRE11	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate1	M21	WT_plate1_M21	YMR224C	MRE11	wild type smt3	yes		
pro-smt3allR_plate4	M13	pro-smt3allR_plate4_M13	YMR264W	CUE1	pro-smt3allR	yes	some brighter cells	the smt3allR mutant population display increased fluorescence signal vs. WT cells
smt3allR_plate4	M13	smt3allR_plate4_M13	YMR264W	CUE1	smt3allR	yes	some brighter cells	the smt3allR mutant population display increased fluorescence signal vs. WT cells
WT_plate4	M13	WT_plate4_M13	YMR264W	CUE1	wild type smt3	yes		
pro-smt3allR_plate4	I17	pro-smt3allR_plate4_I17	YNL055C	POR1	pro-smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
smt3allR_plate4	I17	smt3allR_plate4_I17	YNL055C	POR1	smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
WT_plate4	I17	WT_plate4_I17	YNL055C	POR1	wild type smt3	yes		
pro-smt3allR_plate4	C11	pro-smt3allR_plate4_C11	YNL065W	AQR1	pro-smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
smt3allR_plate4	C11	smt3allR_plate4_C11	YNL065W	AQR1	smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
WT_plate4	C11	WT_plate4_C11	YNL065W	AQR1	wild type smt3	yes		
pro-smt3allR_plate2	E13	pro-smt3allR_plate2_E13	YNL077W	APJ1	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate2	E13	smt3allR_plate2_E13	YNL077W	APJ1	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate2	E13	WT_plate2_E13	YNL077W	APJ1	wild type smt3	yes		
pro-smt3allR_plate1	I19	pro-smt3allR_plate1_I19	YNL085W	MKT1	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate1	I19	smt3allR_plate1_I19	YNL085W	MKT1	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate1	I19	WT_plate1_I19	YNL085W	MKT1	wild type smt3	yes		
pro-smt3allR_plate3	M5	pro-smt3allR_plate3_M5	YNL147W	LSM7	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	M5	smt3allR_plate3_M5	YNL147W	LSM7	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	M5	WT_plate3_M5	YNL147W	LSM7	wild type smt3	yes		
pro-smt3allR_plate2	K19	pro-smt3allR_plate2_K19	YNL175C	NOP13	pro-smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
smt3allR_plate2	K19	smt3allR_plate2_K19	YNL175C	NOP13	smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
WT_plate2	K19	WT_plate2_K19	YNL175C	NOP13	wild type smt3	yes		
pro-smt3allR_plate2	C17	pro-smt3allR_plate2_C17	YNL218W	MGS1	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate2	C17	smt3allR_plate2_C17	YNL218W	MGS1	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate2	C17	WT_plate2_C17	YNL218W	MGS1	wild type smt3	yes		
smt3allR_plate2	E5	smt3allR_plate2_E5	YNL225C	CNM67	smt3allR	yes	more than 2 SPB (Spindle Pole Bodies) in some cells	the smt3allR mutant has a population of cells with more than 2 spindle pole bodies
pro-smt3allR_plate2	E5	pro-smt3allR_plate2_E5	YNL225C	CNM67	pro-smt3allR	yes		
WT_plate2	E5	WT_plate2_E5	YNL225C	CNM67	wild type smt3	yes		
pro-smt3allR_plate1	A23	pro-smt3allR_plate1_A23	YNL250W	RAD50	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate1	A23	smt3allR_plate1_A23	YNL250W	RAD50	smt3allR	yes	no colony	
WT_plate1	A23	WT_plate1_A23	YNL250W	RAD50	wild type smt3	yes		
pro-smt3allR_plate2	C5	pro-smt3allR_plate2_C5	YNL293W	MSB3	pro-smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
smt3allR_plate2	C5	smt3allR_plate2_C5	YNL293W	MSB3	smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
WT_plate2	C5	WT_plate2_C5	YNL293W	MSB3	wild type smt3	yes		
pro-smt3allR_plate3	K19	pro-smt3allR_plate3_K19	YNR046W	TRM112	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	K19	smt3allR_plate3_K19	YNR046W	TRM112	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	K19	WT_plate3_K19	YNR046W	TRM112	wild type smt3	yes		
pro-smt3allR_plate4	I19	pro-smt3allR_plate4_I19	YOL009C	MDM12	pro-smt3allR	yes	more foci per cell	the smt3allR mutant has more foci per cell than WT
smt3allR_plate4	I19	smt3allR_plate4_I19	YOL009C	MDM12	smt3allR	yes	more foci per cell	the smt3allR mutant has more foci per cell than WT
WT_plate4	I19	WT_plate4_I19	YOL009C	MDM12	wild type smt3	yes		
pro-smt3allR_plate2	E23	pro-smt3allR_plate2_E23	YOL070C	NBA1	pro-smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
smt3allR_plate2	E23	smt3allR_plate2_E23	YOL070C	NBA1	smt3allR	yes		
WT_plate2	E23	WT_plate2_E23	YOL070C	NBA1	wild type smt3	yes		
pro-smt3allR_plate4	K21	pro-smt3allR_plate4_K21	YOL092W	YOL092W	pro-smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
smt3allR_plate4	K21	smt3allR_plate4_K21	YOL092W	YOL092W	smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
WT_plate4	K21	WT_plate4_K21	YOL092W	YOL092W	wild type smt3	yes		
smt3allR_plate3	G17	smt3allR_plate3_G17	YOL149W	DCP1	smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
pro-smt3allR_plate3	G17	pro-smt3allR_plate3_G17	YOL149W	DCP1	pro-smt3allR	yes		
WT_plate3	G17	WT_plate3_G17	YOL149W	DCP1	wild type smt3	yes		
pro-smt3allR_plate2	O19	pro-smt3allR_plate2_O19	YOR007C	SGT2	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate2	O19	smt3allR_plate2_O19	YOR007C	SGT2	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate2	O19	WT_plate2_O19	YOR007C	SGT2	wild type smt3	yes		
pro-smt3allR_plate1	G19	pro-smt3allR_plate1_G19	YOR058C	ASE1	pro-smt3allR	yes	brighter and stuck at segregation	the smt3allR mutant has a population of cells that contain GFP signals between mother and daughter cells
smt3allR_plate1	G19	smt3allR_plate1_G19	YOR058C	ASE1	smt3allR	yes	brighter and stuck at segregation	the smt3allR mutant has a population of cells that contain GFP signals between mother and daughter cells
WT_plate1	G19	WT_plate1_G19	YOR058C	ASE1	wild type smt3	yes		
pro-smt3allR_plate4	I15	pro-smt3allR_plate4_I15	YOR101W	RAS1	pro-smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
smt3allR_plate4	I15	smt3allR_plate4_I15	YOR101W	RAS1	smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
WT_plate4	I15	WT_plate4_I15	YOR101W	RAS1	wild type smt3	yes		
pro-smt3allR_plate4	M15	pro-smt3allR_plate4_M15	YOR185C	GSP2	pro-smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
smt3allR_plate4	M15	smt3allR_plate4_M15	YOR185C	GSP2	smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
WT_plate4	M15	WT_plate4_M15	YOR185C	GSP2	wild type smt3	yes		
pro-smt3allR_plate4	M21	pro-smt3allR_plate4_M21	YOR188W	MSB1	pro-smt3allR	yes	more foci per cell	the smt3allR mutant has more foci per cell than WT
smt3allR_plate4	M21	smt3allR_plate4_M21	YOR188W	MSB1	smt3allR	yes	more foci per cell	the smt3allR mutant has more foci per cell than WT
WT_plate4	M21	WT_plate4_M21	YOR188W	MSB1	wild type smt3	yes		
pro-smt3allR_plate2	K9	pro-smt3allR_plate2_K9	YOR264W	DSE3	pro-smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
smt3allR_plate2	K9	smt3allR_plate2_K9	YOR264W	DSE3	smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
WT_plate2	K9	WT_plate2_K9	YOR264W	DSE3	wild type smt3	yes		
pro-smt3allR_plate4	C5	pro-smt3allR_plate4_C5	YOR270C	VPH1	pro-smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
smt3allR_plate4	C5	smt3allR_plate4_C5	YOR270C	VPH1	smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
WT_plate4	C5	WT_plate4_C5	YOR270C	VPH1	wild type smt3	yes		
pro-smt3allR_plate2	G3	pro-smt3allR_plate2_G3	YOR310C	Nop58	pro-smt3allR	yes	some fragmented nucleoli	the smt3allR mutant population display fragmented nucleoli
smt3allR_plate2	G3	smt3allR_plate2_G3	YOR310C	Nop58	smt3allR	yes	some fragmented nucleoli	the smt3allR mutant population display fragmented nucleoli
WT_plate2	G3	WT_plate2_G3	YOR310C	Nop58	wild type smt3	yes		
pro-smt3allR_plate1	O7	pro-smt3allR_plate1_O7	YOR317W	FAA1	pro-smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
smt3allR_plate1	O7	smt3allR_plate1_O7	YOR317W	FAA1	smt3allR	yes	no colony	
WT_plate1	O7	WT_plate1_O7	YOR317W	FAA1	wild type smt3	yes		
pro-smt3allR_plate4	M5	pro-smt3allR_plate4_M5	YOR332W	VMA4	pro-smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
smt3allR_plate4	M5	smt3allR_plate4_M5	YOR332W	VMA4	smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
WT_plate4	M5	WT_plate4_M5	YOR332W	VMA4	wild type smt3	yes		
pro-smt3allR_plate4	E7	pro-smt3allR_plate4_E7	YOR370C	MRS6	pro-smt3allR	yes	brighter and odd shaped cells	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT and the smt3allR mutant population contains odd shaped cells"
smt3allR_plate4	E7	smt3allR_plate4_E7	YOR370C	MRS6	smt3allR	yes	brighter and odd shaped cells	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT and the smt3allR mutant population contains odd shaped cells"
WT_plate4	E7	WT_plate4_E7	YOR370C	MRS6	wild type smt3	yes		
pro-smt3allR_plate3	O23	pro-smt3allR_plate3_O23	YPL047W	SGF11	pro-smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
smt3allR_plate3	O23	smt3allR_plate3_O23	YPL047W	SGF11	smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
WT_plate3	O23	WT_plate3_O23	YPL047W	SGF11	wild type smt3	yes		
pro-smt3allR_plate4	G5	pro-smt3allR_plate4_G5	YPL087W	YDC1	pro-smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
smt3allR_plate4	G5	smt3allR_plate4_G5	YPL087W	YDC1	smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
WT_plate4	G5	WT_plate4_G5	YPL087W	YDC1	wild type smt3	yes		
pro-smt3allR_plate3	G23	pro-smt3allR_plate3_G23	YPL166W	ATG29	pro-smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
smt3allR_plate3	G23	smt3allR_plate3_G23	YPL166W	ATG29	smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
WT_plate3	G23	WT_plate3_G23	YPL166W	ATG29	wild type smt3	yes		
pro-smt3allR_plate2	C19	pro-smt3allR_plate2_C19	YPL194W	DDC1	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate2	C19	smt3allR_plate2_C19	YPL194W	DDC1	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate2	C19	WT_plate2_C19	YPL194W	DDC1	wild type smt3	yes		
pro-smt3allR_plate2	G5	pro-smt3allR_plate2_G5	YPL198W	RPL7B	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate2	G5	smt3allR_plate2_G5	YPL198W	RPL7B	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate2	G5	WT_plate2_G5	YPL198W	RPL7B	wild type smt3	yes		
pro-smt3allR_plate2	M15	pro-smt3allR_plate2_M15	YPL209C	IPL1	pro-smt3allR	yes	fish hook	the smt3allR mutant displays spindles with fish hook morphology1
