Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Temperature Sensitive Allele	Restrictive Temperature	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments	Plate Issues
Plate1-TS-Yellow-B	2	A2											empty well			
Plate1-TS-Yellow-B	3	A3											empty well			
Plate1-TS-Yellow-B	4	A4											empty well			
Plate1-TS-Yellow-B	5	A5											empty well			
Plate1-TS-Yellow-B	6	A6											empty well			
Plate1-TS-Yellow-B	7	A7											empty well			
Plate1-TS-Yellow-B	8	A8											empty well			
Plate1-TS-Yellow-B	9	B1											empty well			
Plate1-TS-Yellow-B	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06492	YPL085W	SEC16	sec16-2	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07239	YDL017W	CDC7	cdc7-4	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07352	YPR176C	BET2	bet2-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07400	YBR109C	CMD1	cmd1-3	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07430	YDL028C	MPS1	mps1-3796	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07731	YDL126C	CDC48	cdc48-9	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	16	B8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07766	YKL210W	UBA1	uba1-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	17	C1											empty well			
Plate1-TS-Yellow-B	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06489	YMR235C	RNA1	rna1-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07236	YLR314C	CDC3	cdc3-3	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07351	YFL039C	ACT1	act1-136	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07398	YBR109C	CMD1	cmd1-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07427	YDL028C	MPS1	mps1-1	26oC - 30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	23	C7											empty well			
Plate1-TS-Yellow-B	24	C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07762	YKL145W	RPT1	rpt1-1	37oC - 38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	25	D1											empty well			
Plate1-TS-Yellow-B	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06487	YBR237W	PRP5	prp5-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06593	YDR208W	MSS4	mss4-103	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07350	YFL039C	ACT1	act1-133	37oC slow	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	29	D5											empty well			
Plate1-TS-Yellow-B	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07424	YPL209C	IPL1	ipl1-1	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07727	YBR110W	ALG1	alg1-1	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	32	D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07759	YIL109C	SEC24	sec24-2	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	33	E1											empty well			
Plate1-TS-Yellow-B	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06484	YNL267W	PIK1	pik1-139	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06537	YDL014W	NOP1	nop1-3	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07349	YFL039C	ACT1	act1-125	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07397	YOR257W	CDC31	cdc31-5	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07423	YDR052C	DBF4	dbf4-4	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07496	YML031W	NDC1	ndc1-4	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	40	E8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07758	YIL048W	NEO1	neo1-2	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	41	F1											empty well			
Plate1-TS-Yellow-B	42	F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y06481	YNL267W	PIK1	pik1-104	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	43	F3											empty well			
Plate1-TS-Yellow-B	44	F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07338	YOR336W	KRE5	kre5-ts2	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	45	F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07395	YOR257W	CDC31	cdc31-2	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	46	F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07420	YDR052C	DBF4	dbf4-3	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	47	F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07489	YBR160W	CDC28	cdc28-13	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate1-TS-Yellow-B	48	F8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07755	YGR120C	COG2	cog2-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10117	YDR002W	YRB1	yrb1-51	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10140	YEL055C	POL5	pol5-2	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10175	YMR296C	LCB1	lcb1-10	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10247	YJL081C	ARP4	arp4-G161D	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10280	YNL061W	NOP2	nop2-9	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10324	YPR110C	RPC40	rpc40-V78R	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10633	YIL118W	RHO3	rho3-1	"30oC - 35oC, grows at 37oC - 38.5oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	8	A8											empty well			
Plate2-TS-Blue-A	9	B1											empty well			
Plate2-TS-Blue-A	10	B2											empty well			
Plate2-TS-Blue-A	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10169	YHR170W	NMD3	nmd3-4	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10246	YIR012W	SQT1	sqt1-201	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10279	YML069W	POB3	pob3-7	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10320	YOR046C	DBP5	dbp5-1	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10624	YJL173C	RFA3	rfa3-313	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	16	B8											empty well			
Plate2-TS-Blue-A	17	C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10106	YDR361C	BCP1	bcp1-ts	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10139	YGL098W	USE1	use1-ts	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10166	YGR099W	TEL2	tel2-7	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10244	YFL034C-B	MOB2	mob2-8	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10275	YNL061W	NOP2	nop2-6	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10314	YNR003C	RPC34	rpc34-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10619	YGL044C	RNA15	rna15-58	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	24	C8											empty well			
Plate2-TS-Blue-A	25	D1											empty well			
Plate2-TS-Blue-A	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10137	YFL038C	YPT1	ypt1-3	37oC - 38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10161	YMR296C	LCB1	lcb1-2	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate2-TS-Blue-A	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10236	YIL021W	RPB3	rpb3-2	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10274	YNL061W	NOP2	nop2-4	"30oC - 35oC, slow at 22oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10309	YMR240C	CUS1	cus1-3	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	31	D7											empty well			
Plate2-TS-Blue-A	32	D8											empty well			
Plate2-TS-Blue-A	33	E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10100	YDR325W	YCG1	ycg1-2	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932						"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	no annotation available	
Plate2-TS-Blue-A	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10158	YMR296C	LCB1	lcb1-4	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10223	YGR158C	MTR3	mtr3-ts	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10272	YNL061W	NOP2	nop2-5	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10307	YMR227C	TAF7	taf7-ts1	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	39	E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10614	YFL029C	CAK1	cak1-23	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-A	40	E8											empty well			
Plate2-TS-Blue-A	41	F1											empty well			
Plate2-TS-Blue-A	42	F2											empty well			
Plate2-TS-Blue-A	43	F3											empty well			
Plate2-TS-Blue-A	44	F4											empty well			
Plate2-TS-Blue-A	45	F5											empty well			
Plate2-TS-Blue-A	46	F6											empty well			
Plate2-TS-Blue-A	47	F7											empty well			
Plate2-TS-Blue-A	48	F8											empty well			
Plate2-TS-Blue-B	1	A1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10130	YER171W	RAD3	rad3-ts14	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	2	A2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10156	YMR296C	LCB1	lcb1-5	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	3	A3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10222	YFL034C-B	MOB2	mob2-40	26oC - 30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate2-TS-Blue-B	4	A4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10269	YNL061W	NOP2	nop2-3	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	5	A5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10302	YML098W	TAF13	taf13-2	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	6	A6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10370	YIL143C	SSL2	ssl2-ts	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate2-TS-Blue-B	7	A7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10671	YPL043W	NOP4	nop4-3	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	8	A8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932						"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	no annotation available	
Plate2-TS-Blue-B	9	B1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10125	YDR062W	LCB2	lcb2-19	26oC - 30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	10	B2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10155	YDR082W	STN1	stn1-13	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	11	B3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10219	YFL034C-B	MOB2	mob2-34	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate2-TS-Blue-B	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10262	YLR066W	SPC3	spc3-4	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10293	YMR197C	VTI1	vti1-11	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10339	YLR298C	YHC1	yhc1-7	"26oC - 30oC, slow at 22oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10670	YER093C	TSC11	tsc11-7	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	16	B8											empty well			
Plate2-TS-Blue-B	17	C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10124	YDR062W	LCB2	lcb2-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10152	YKR086W	PRP16	prp16-2	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10212	YFL034C-B	MOB2	mob2-22	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10257	YKL173W	SNU114	snu114-40	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10292	YMR197C	VTI1	vti1-2	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	"no image, problem with well"	
Plate2-TS-Blue-B	22	C6											empty well			
Plate2-TS-Blue-B	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10668	YER093C	TSC11	tsc11-1	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	24	C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932						"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell	no annotation available	
Plate2-TS-Blue-B	25	D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10123	YDR062W	LCB2	lcb2-16	26oC - 30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10151	YDL030W	PRP9	prp9-1	30oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10199	YFL034C-B	MOB2	mob2-11	"26oC - 30oC, slow at 22oC"	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10254	YKL173W	SNU114	snu114-60	37oC - 38.5oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10290	YLR298C	YHC1	yhc1-2	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10332	YML015C	TAF11	taf11-ts2	35oC - 37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10667	YDR088C	SLU7	slu7-ts2	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	32	D8											empty well			
Plate2-TS-Blue-B	33	E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10121	YLR249W	YEF3	yef3-F650S	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	34	E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10144	YEL055C	POL5	pol5-3	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	35	E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10197	YGL112C	TAF6	taf6-ts	37oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	36	E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10250	YJL125C	GCD14	gcd14-4	35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	37	E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10286	YLR298C	YHC1	yhc1-1	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
Plate2-TS-Blue-B	38	E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10328	YKR086W	PRP16	prp16-ts	30oC - 35oC	"SGD, 2011"	"SGD, 2011"		YFP:DAD4; mRFP1:SPC42; DIC: whole cell		
